strategy,objective,experiment,iteration,edge_relocation_cg,search_successful_cg,search_failed_cg,search_skipped_cg,edge_relocation_v2x,search_successful_v2x,search_failed_v2x,search_skipped_v2x,edge_relocation_uav,search_successful_uav,search_failed_uav,search_skipped_uav
optimal,lb,1,1,13,15,0,0,20,23,0,0,6,12,0,0
optimal,lb,1,2,9,9,0,0,18,24,0,0,9,17,0,0
optimal,lb,1,3,16,18,0,0,17,19,0,0,2,13,0,0
optimal,lb,1,4,19,20,0,0,11,13,0,0,5,17,0,0
optimal,lb,1,5,10,10,0,0,13,20,0,0,9,20,0,0
,,,,,,,,,,,,,,,
optimal,latency,2,1,5,10,5,0,7,22,1,0,10,12,0,0
optimal,latency,2,2,2,4,5,0,12,24,0,0,5,17,0,0
optimal,latency,2,3,2,11,7,0,8,19,0,0,6,13,0,0
optimal,latency,2,4,4,12,8,0,8,13,0,0,8,17,0,0
optimal,latency,2,5,0,5,5,0,7,20,0,0,7,20,0,0
,,,,,,,,,,,,,,,
optimal,hybrid,3,1,12,14,1,0,20,23,0,0,11,12,0,0
optimal,hybrid,3,2,4,7,2,0,23,24,0,0,15,17,0,0
optimal,hybrid,3,3,11,16,2,0,16,19,0,0,12,13,0,0
optimal,hybrid,3,4,8,18,2,0,10,13,0,0,13,17,0,0
optimal,hybrid,3,5,5,9,1,0,19,20,0,0,19,20,0,0
,,,,,,,,,,,,,,,
heuristic,hybrid_if,4,1,7,7,0,8,3,3,0,20,0,0,0,12
heuristic,hybrid_if,4,2,2,2,2,5,9,9,0,15,0,0,0,17
heuristic,hybrid_if,4,3,4,4,0,14,2,2,0,17,0,0,0,13
heuristic,hybrid_if,4,4,5,5,1,14,4,4,0,9,0,0,0,17
heuristic,hybrid_if,4,5,1,1,0,9,4,4,0,16,0,0,0,20
,,,,,,,,,,,,,,,
heuristic,hybrid,5,1,10,14,1,0,20,23,0,0,11,12,0,0
heuristic,hybrid,5,2,5,7,2,0,23,24,0,0,15,17,0,0
heuristic,hybrid,5,3,14,16,2,0,17,19,0,0,13,13,0,0
heuristic,hybrid,5,4,10,18,2,0,12,13,0,0,16,17,0,0
heuristic,hybrid,5,5,4,9,1,0,16,20,0,0,19,20,0,0
