1-1,57,42,47,49,68,41,30,67,43,61,40,43,32,44,33,32,47,59,44,36,34,51,39,44,54,35,38,41,70,55,35,48,68,41,45,31,48,61,64,49,36,47,40,30,41,40,36,49
1-2,44,33,48,41,42,33,42,32,48,44,69,41,51,50,38,39,53,38,47,38,29,44,35,42,38,45,27,43,33,52,40,36,44,44,52,42,45,35,49,50,33,54,34,41,51,56,51,55,55,51
1-3,30,21,29,32,39,41,36,49,46,40,42,56,47,35,36,34,38,38,34,43,36,30,48,38,38,32,45,55,48,31,44,41,49,56,46,46,27,32,49,33,39,46,50,55,43,46,33,38,42,51
1-4,30,42,54,50,39,44,41,47,44,34,38,41,38,58,36,42,33,45,40,30,31,32,46,41,44,52,60,40,38,32,40,43,46,43,41,35,60,69,59,48,38,48,52,42,40,44,49,40,40,40
1-5,41,40,32,32,42,34,42,53,39,39,35,18,38,25,44,51,30,39,31,47,37,54,57,53,41,42,51,36,30,49,37,42,55,53,39,36,38,38,42,37,52,46,44,35,38,36,49,41,30,51
2-1,105,133,67,106,75,113,40,39,47,47,40,51,37,45,54,41,43,44,39,40,39,72,35,37,40,58,34,38,26,46,43,68,33,52,43,32,47,45,36,64,34,51,56,84,35,40,37,32,54,50
2-2,141,86,61,98,75,133,34,41,35,41,51,52,57,50,37,38,47,38,45,43,41,66,37,46,31,33,48,43,43,39,50,31,45,39,36,33,50,40,46,47,52,33,43,49,41,64,36,47,44,43
2-3,68,91,99,115,77,109,50,53,44,41,37,33,55,58,50,48,42,50,28,39,51,45,45,51,36,52,41,37,42,35,50,38,46,40,50,34,40,55,40,50,53,33,57,58,37,53,48,38,43,42
2-4,88,78,124,38,40,59,51,58,39,32,43,34,51,105,56,38,100,53,43,40,45,29,39,22,36,45,40,24,39,45,38,47,38,58,34,29,48,40,65,38,47,49,50,116,52,49,44,44,39,51
2-5,138,84,63,122,73,68,48,48,29,37,46,52,47,38,29,18,39,56,54,41,35,37,67,48,51,32,34,38,42,37,33,49,35,35,45,27,43,46,51,85,62,42,110,51,41,42,43,47,51,47
3-1,114,106,81,130,73,36,45,48,55,32,31,54,55,40,52,41,45,44,45,46,67,40,50,28,49,53,56,35,34,56,26,44,49,25,38,32,51,39,117,61,64,46,44,32,28,44,59,39,62,39
3-2,121,66,122,55,32,28,38,20,42,35,65,71,47,48,74,37,46,32,57,39,51,46,36,30,49,48,56,45,40,44,47,33,40,51,75,62,41,47,37,50,46,41,40,36,56,41,50,61,35,51
3-3,94,77,135,71,85,33,38,24,56,38,36,46,44,51,42,43,41,53,36,44,35,24,33,37,30,46,44,47,50,34,62,54,53,28,31,43,42,31,43,82,108,39,40,54,61,107,81,54,57,38
3-4,63,34,43,35,47,48,49,45,42,34,46,41,34,29,50,38,48,48,47,32,49,43,51,44,57,48,32,45,44,121,45,74,43,56,38,50,49,50,48,41,75,45,38,51,32,34,58,36,36,38
3-5,95,87,134,46,52,41,45,42,32,56,37,41,60,42,35,29,45,42,36,47,36,46,44,31,36,24,45,30,47,47,58,48,44,45,43,55,24,33,42,40,40,52,36,31,33,40,44,35,19,49
4-1,74,131,90,99,91,51,40,38,39,47,32,35,54,38,37,85,62,38,40,38,49,39,41,48,42,48,46,35,33,43,35,38,34,70,36,44,32,109,54,109,58,116,44,45,59,41,49,54,43,54
4-2,82,44,48,7,5,6,3,6,7,5,10,7,8,8,6,5,7,6,4,6,6,8,6,6,5,5,5,6,7,7,7,7,6,7,6,8,5,7,6,5,7,6,7,5,6,12,8,5,9,8
4-3,38,6,7,7,5,6,7,5,6,5,6,6,7,7,7,6,5,7,7,8,4,8,9,7,5,5,9,4,6,5,4,5,7,6,5,6,7,6,6,8,7,6,5,7,5,7,6,7,7,7
4-4,95,10,6,5,5,7,7,5,5,5,6,6,7,5,6,6,5,7,6,7,6,8,7,5,5,5,7,5,4,5,7,7,5,3,5,7,6,5,6,4,9,6,4,8,7,6,8,6,6,7
4-5,38,9,7,5,5,7,6,5,6,8,7,6,5,5,3,5,6,5,6,6,7,5,5,7,6,8,6,7,8,9,5,4,5,6,7,6,5,5,5,6,6,7,6,4,6,7,8,7,6,7
5-1,68,75,95,65,79,31,37,42,36,54,33,41,31,43,42,41,45,65,42,49,44,39,52,53,56,41,44,50,51,63,59,44,52,58,75,49,83,49,39,57,39,38,55,81,70,34,43,33,42,40
5-2,84,71,41,29,35,53,51,50,45,33,44,43,32,47,55,40,49,42,44,35,50,43,38,55,42,51,42,52,50,57,47,41,49,51,58,57,54,40,39,40,32,42,38,39,33,28,60,29,79,103
5-3,93,77,118,32,35,48,68,35,51,44,31,42,43,41,43,36,51,50,44,46,56,38,58,47,44,47,62,48,49,35,29,49,30,56,52,35,74,55,46,44,53,52,48,40,50,34,36,47,34,40
5-4,83,106,32,35,45,58,48,42,57,47,34,43,31,46,40,40,61,49,28,37,43,34,49,29,44,44,47,41,26,65,45,41,39,45,55,51,51,43,31,26,27,43,40,51,32,33,30,62,45,50
5-5,102,125,122,29,41,27,47,51,47,37,42,65,52,50,48,48,22,55,43,48,41,52,30,45,57,50,46,46,36,34,76,53,48,38,45,56,40,44,33,62,58,40,45,35,42,39,32,32,42,40
